nom,commune,proprietaire,gestionnaire,voieentree,voiesortie,avancement,typeparking,situation,parkingtempsreel,gabarit,capacite,capacite2rm,capacitevelo,capaciteautopartage,capacitepmr,usage,vocation,reglementation,fermeture,codetype,gid,gml_id,longitude,latitude
Place Charles de Gaulle,CRAPONNE,COMMUNE,COMMUNE,Avenue Jean Bergeron,Avenue Jean Bergeron,Existant,Poche de stationnement,En surface,0,2.0,12,0,6,0,1,Libre,Commerciale,Zone bleue,Ouvert 24h/24h,5,368,pvo_patrimoine_voirie.pvoparking.368,4.722896,45.74319299905713
La Gatolière,CRAPONNE,COMMUNE,COMMUNE,Rue de Verdun,Rue de Verdun,Existant,Poche de stationnement,En surface,0,2.0,30,0,8,0,0,Libre,Commerciale,Gratuit,Ouvert 24h/24h,5,89,pvo_patrimoine_voirie.pvoparking.89,4.714302,45.74433899905711
Place Andrée Marie Perrin,CRAPONNE,GRAND LYON,GRAND LYON,Place Andrée Marie Perrin,Place Andrée Marie Perrin,Existant,Poche de stationnement,En surface,0,2.0,60,1,0,0,2,Libre,Commerciale,Zone bleue,Marché,5,369,pvo_patrimoine_voirie.pvoparking.369,4.72358,45.74658299905712
Place de la Mutualité,CRAPONNE,GRAND LYON,GRAND LYON,Rue de Verdun,Rue de Verdun,Existant,Poche de stationnement,En surface,0,2.0,5,0,0,0,0,Libre,Mixte,Gratuit,Ouvert 24h/24h,5,21,pvo_patrimoine_voirie.pvoparking.21,4.722657,45.742589999057124
Place du 19 mars 1962,CRAPONNE,GRAND LYON,GRAND LYON,Avenue Jean Bergeron,Avenue Jean Bergeron,Existant,Poche de stationnement,En surface,0,2.0,19,0,6,0,2,Libre,Commerciale,Zone bleue,Ouvert 24h/24h,5,262,pvo_patrimoine_voirie.pvoparking.262,4.723326,45.74250699905713
Pré au Cheval,CRAPONNE,GRAND LYON,GRAND LYON,Avenue Jean Bergeron,Avenue Jean Bergeron,Existant,Poche de stationnement,En surface,0,2.0,21,0,0,0,0,Libre,Mixte,Gratuit,Ouvert 24h/24h,5,140,pvo_patrimoine_voirie.pvoparking.140,4.724249,45.74215499905711
Ecole Soupault,CRAPONNE,COMMUNE,COMMUNE,Ancienne route de Brindas,Rue de la Tourette,Existant,Poche de stationnement,En surface,0,2.0,28,0,0,0,1,Libre,Mixte,Gratuit,Ouvert 24h/24h,5,267,pvo_patrimoine_voirie.pvoparking.267,4.732494,45.74651599905713
Cimetière,CURIS-AU-MONT-D'OR,COMMUNE,COMMUNE,Chemin de la Morelle,Chemin de la Morelle,Existant,Poche de stationnement,En surface,0,2.0,55,0,0,0,1,Libre,Evènementielle,Gratuit,Ouvert 24h/24h,5,721,pvo_patrimoine_voirie.pvoparking.721,4.822402,45.874745999057254
Salle du Vallon,CURIS-AU-MONT-D'OR,COMMUNE,COMMUNE,Route des Monts d'Or,Route des Monts d'Or,Existant,Poche de stationnement,En surface,0,2.0,16,0,0,0,1,Libre,Evènementielle,Gratuit,Ouvert 24h/24h,5,719,pvo_patrimoine_voirie.pvoparking.719,4.820535,45.870628999057246
Cimetière,DARDILLY,COMMUNE,COMMUNE,Avenue de Verdun,Avenue de Verdun,Existant,Poche de stationnement,En surface,0,2.0,50,0,0,0,1,Libre,Evènementielle,Gratuit,Ouvert 24h/24h,5,133,pvo_patrimoine_voirie.pvoparking.133,4.751273,45.809824999057184
Eglise Saint-Claude,DARDILLY,COMMUNE,COMMUNE,Chemin de Pierre Blanche,Chemin de Pierre Blanche,Existant,Poche de stationnement,En surface,0,2.0,25,0,0,0,1,Libre,Mixte,Gratuit,Marché,5,219,pvo_patrimoine_voirie.pvoparking.219,4.750357,45.81903399905719
Paillet,DARDILLY,COMMUNE,COMMUNE,Route de la Tour de Salvagny,Chemin du Fort,Existant,Aire de covoiturage,En surface,0,1.9,34,0,0,0,0,Libre,Evènementielle,Gratuit,Ouvert 24h/24h,6,3,pvo_patrimoine_voirie.pvoparking.3,4.74913,45.822683999057205
Porte de Lyon,DARDILLY,ETAT,ETAT,RD306,RD306,Existant,Aire de covoiturage,En surface,0,2.0,25,0,0,0,0,Libre,Evènementielle,Gratuit,Ouvert 24h/24h,6,221,pvo_patrimoine_voirie.pvoparking.221,4.762823,45.82414499905719
Aqueduc Médiathèque,DARDILLY,COMMUNE,COMMUNE,Chemin de la Liasse,Chemin de la Liasse,Existant,Poche de stationnement,En surface,0,2.0,160,2,2,0,4,Libre,Mixte,Gratuit,Ouvert 24h/24h,5,223,pvo_patrimoine_voirie.pvoparking.223,4.755715,45.812516999057195
Complexe sportif Moulin Caron,DARDILLY,GRAND LYON,GRAND LYON,Chemin de Parsonge,Chemin de Parsonge,Existant,Poche de stationnement,En surface,0,2.0,67,0,4,0,2,Libre,Evènementielle,Gratuit,Ouvert 24h/24h,5,220,pvo_patrimoine_voirie.pvoparking.220,4.756636,45.81262399905719
Charrière Blanche,ECULLY,COMMUNE,COMMUNE,Chemin de Charrière Blanche,Chemin de Charrière Blanche,Existant,Poche de stationnement,En surface,0,2.0,50,0,0,0,2,Libre,Mixte,Gratuit,Ouvert 24h/24h,5,688,pvo_patrimoine_voirie.pvoparking.688,4.777098,45.77818999905716
Cimetière,ECULLY,COMMUNE,COMMUNE,Avenue des Granges,Avenue des Granges,Existant,Poche de stationnement,En surface,0,2.0,21,0,0,0,1,Libre,Evènementielle,Gratuit,Ouvert 24h/24h,5,686,pvo_patrimoine_voirie.pvoparking.686,4.773194,45.768934999057144
Place de la Libération,ECULLY,GRAND LYON,GRAND LYON,Avenue Edouard Aynard,Avenue Edouard Aynard,Existant,Poche de stationnement,En surface,0,2.0,49,0,0,0,3,Horaire,Commerciale,Payant,Ouvert 24h/24h,5,689,pvo_patrimoine_voirie.pvoparking.689,4.778694,45.77511999905716
Place du Marché,ECULLY,COMMUNE,COMMUNE,Avenue Raymond de Veyssière,Avenue Raymond de Veyssière,Existant,Poche de stationnement,En surface,0,2.0,134,0,0,0,3,Horaire,Commerciale,Payant,Marché,5,690,pvo_patrimoine_voirie.pvoparking.690,4.781902,45.773963999057145
Place Stengelin,ECULLY,COMMUNE,COMMUNE,Allée des Tullistes,Allée des Tullistes,Existant,Poche de stationnement,En surface,0,2.0,11,0,0,0,1,Horaire,Mixte,Payant,Ouvert 24h/24h,5,416,pvo_patrimoine_voirie.pvoparking.416,4.78039,45.77504899905715
Rimaud,ECULLY,GRAND LYON,GRAND LYON,Chemin Louis Chirpaz,Chemin Louis Chirpaz,Existant,Poche de stationnement,En surface,0,2.0,15,0,0,0,1,Libre,Mixte,Gratuit,Ouvert 24h/24h,5,687,pvo_patrimoine_voirie.pvoparking.687,4.779329,45.77888899905716
Villeneuve,ECULLY,COMMUNE,COMMUNE,Chemin de Villeneuve,Chemin de Villeneuve,Existant,Poche de stationnement,En surface,0,2.0,28,0,0,0,1,Libre,Mixte,Gratuit,Ouvert 24h/24h,5,685,pvo_patrimoine_voirie.pvoparking.685,4.782247,45.78558999905716
Centre de Loisirs,FEYZIN,COMMUNE,COMMUNE,Rue des Bleuets,Rue des Bleuets,Existant,Poche de stationnement,En surface,0,2.0,35,0,0,0,1,Libre,Mixte,Gratuit,Ouvert 24h/24h,5,734,pvo_patrimoine_voirie.pvoparking.734,4.864542,45.66897199905705
Centre Léonard de Vinci,FEYZIN,COMMUNE,COMMUNE,Chemin de Beauregard,Chemin de Beauregard,Existant,Poche de stationnement,En surface,0,2.0,150,0,0,0,2,Libre,Mixte,Gratuit,Ouvert 24h/24h,5,238,pvo_patrimoine_voirie.pvoparking.238,4.857705,45.67338599905706
Château du Fort,FEYZIN,COMMUNE,COMMUNE,Rue du Docteur Jean Long,Rue du Docteur Jean Long,Existant,Poche de stationnement,En surface,0,2.0,70,0,0,0,1,Libre,Mixte,Gratuit,Ouvert 24h/24h,5,733,pvo_patrimoine_voirie.pvoparking.733,4.860948,45.673226999057064
Cimetière,FEYZIN,COMMUNE,COMMUNE,Place de l'Eglise,Place de l'Eglise,Existant,Poche de stationnement,En surface,0,2.0,45,0,0,0,1,Libre,Evènementielle,Gratuit,Ouvert 24h/24h,5,732,pvo_patrimoine_voirie.pvoparking.732,4.855047,45.66666699905705
Impasse Marcel Pagnol,FEYZIN,GRAND LYON,GRAND LYON,Chemin sous le Fort,Chemin sous le Fort,Existant,Poche de stationnement,En surface,0,2.0,27,0,0,0,1,Libre,Evènementielle,Gratuit,Ouvert 24h/24h,5,727,pvo_patrimoine_voirie.pvoparking.727,4.860748,45.67036399905707
Place Claudius Béry,FEYZIN,GRAND LYON,GRAND LYON,Place Claudius Béry,Place Claudius Béry,Existant,Poche de stationnement,En surface,0,2.0,55,0,0,0,1,Libre,Mixte,Gratuit,Marché,5,731,pvo_patrimoine_voirie.pvoparking.731,4.849789,45.666370999057065
Place de l'Eglise,FEYZIN,GRAND LYON,GRAND LYON,Rue de la Garenne,Rue de la Garenne,Existant,Poche de stationnement,En surface,0,2.0,22,0,0,0,1,Libre,Evènementielle,Gratuit,Ouvert 24h/24h,5,730,pvo_patrimoine_voirie.pvoparking.730,4.855154,45.667967999057055
Stade Jean Bouin,FEYZIN,GRAND LYON,GRAND LYON,Rue Jean Bouin,Rue Jean Bouin,Existant,Poche de stationnement,En surface,0,2.0,60,0,0,0,1,Libre,Evènementielle,Gratuit,Ouvert 24h/24h,5,236,pvo_patrimoine_voirie.pvoparking.236,4.84632,45.66497399905706
Parking des Chasseurs,FEYZIN,COMMUNE,COMMUNE,Route de Vénissieux,Route de Vénissieux,Existant,Poche de stationnement,En surface,0,2.0,20,0,0,0,0,Libre,Evènementielle,Gratuit,Ouvert 24h/24h,5,235,pvo_patrimoine_voirie.pvoparking.235,4.870717,45.68339199905707
Cimetière,FLEURIEU-SUR-SAONE,GRAND LYON,GRAND LYON,Chemin du Cimetière,Chemin du Cimetière,Existant,Poche de stationnement,En surface,0,2.0,14,0,0,0,0,Libre,Evènementielle,Gratuit,Ouvert 24h/24h,5,716,pvo_patrimoine_voirie.pvoparking.716,4.848676,45.856389999057235
Eglise,FLEURIEU-SUR-SAONE,COMMUNE,COMMUNE,Grande Rue,Grande Rue,Existant,Poche de stationnement,En surface,0,2.0,18,0,0,0,0,Libre,Mixte,Gratuit,Ouvert 24h/24h,5,715,pvo_patrimoine_voirie.pvoparking.715,4.845371,45.86161599905724
Place Guimet,FLEURIEU-SUR-SAONE,GRAND LYON,GRAND LYON,Grande Rue,Grande Rue,Existant,Poche de stationnement,En surface,0,2.0,10,0,0,0,0,Libre,Mixte,Gratuit,Marché,5,420,pvo_patrimoine_voirie.pvoparking.420,4.84522,45.862760999057244
Le Mas,FLEURIEU-SUR-SAONE,SNCF,GRAND LYON,Grande Rue,Grande Rue,Existant,Poche de stationnement,En surface,0,2.0,22,0,0,0,0,Libre,Mixte,Gratuit,Ouvert 24h/24h,5,419,pvo_patrimoine_voirie.pvoparking.419,4.84576,45.860920999057235
Parking du stade de la Cachette,FLEURIEU-SUR-SAONE,GRAND LYON,GRAND LYON,Grande Rue,Grande Rue,Existant,Poche de stationnement,En surface,0,2.0,18,0,0,0,1,Libre,Mixte,Gratuit,Ouvert 24h/24h,5,418,pvo_patrimoine_voirie.pvoparking.418,4.844525,45.863433999057236
Gare,FLEURIEU-SUR-SAONE,GRAND LYON,GRAND LYON,Rue de la Gare,Rue de la Gare,Existant,Poche de stationnement,En surface,0,2.0,27,0,12,0,0,Libre,Mixte,Gratuit,Ouvert 24h/24h,5,717,pvo_patrimoine_voirie.pvoparking.717,4.845012,45.85963899905724
Diderot,OULLINS,COMMUNE,COMMUNE,Rue Diderot,Rue Diderot,Existant,Poche de stationnement,En surface,0,2.0,20,0,0,0,1,Libre,Mixte,Gratuit,Ouvert 24h/24h,5,26,pvo_patrimoine_voirie.pvoparking.26,4.809242,45.7134169990571
Eglise,OULLINS,Privé,COMMUNE,Rue Voltaire,Rue Voltaire,Existant,Poche de stationnement,En surface,0,2.0,35,0,6,0,2,Horaire,Mixte,Payant,Ouvert 24h/24h,5,110,pvo_patrimoine_voirie.pvoparking.110,4.804533,45.71508399905709
Hôtel de Ville,OULLINS,COMMUNE,COMMUNE,Rue Diderot,Rue Diderot,Existant,Poche de stationnement,En surface,0,2.0,100,0,0,0,2,Libre,Mixte,Gratuit,Ouvert 24h/24h,5,261,pvo_patrimoine_voirie.pvoparking.261,4.809024,45.7133719990571
La Camille,OULLINS,COMMUNE,COMMUNE,Rue de la Camille,Rue de la Camille,Existant,Poche de stationnement,En surface,0,2.0,100,0,0,0,2,Libre,Mixte,Gratuit,Ouvert 24h/24h,5,434,pvo_patrimoine_voirie.pvoparking.434,4.80214,45.713198999057106
Place Anatole France,OULLINS,GRAND LYON,GRAND LYON,Rue Voltaire,Rue Voltaire,Existant,Poche de stationnement,En surface,0,2.0,100,0,0,0,1,Horaire,Mixte,Payant,Marché,5,43,pvo_patrimoine_voirie.pvoparking.43,4.804872,45.714203999057105
Poste,OULLINS,GRAND LYON,GRAND LYON,Rue Diderot,Rue Diderot,Existant,Poche de stationnement,En surface,0,2.0,29,0,0,0,1,Libre,Mixte,Gratuit,Ouvert 24h/24h,5,264,pvo_patrimoine_voirie.pvoparking.264,4.809904,45.7153779990571
Square Croix Tournus,OULLINS,COMMUNE,COMMUNE,Rue de la Camille,Rue de la Camille,Existant,Poche de stationnement,En surface,0,2.0,25,0,0,0,1,Libre,Mixte,Gratuit,Ouvert 24h/24h,5,76,pvo_patrimoine_voirie.pvoparking.76,4.801798,45.714317999057094
Hôtel de Ville,SAINT-PRIEST,COMMUNE,COMMUNE,Rue Maréchal Leclerc,Rue Maréchal Leclerc,Existant,Poche de stationnement,En surface,0,2.0,120,0,0,0,1,Libre,Mixte,Gratuit,Ouvert 24h/24h,5,144,pvo_patrimoine_voirie.pvoparking.144,4.934856,45.69580799905708
Paul Picard,VENISSIEUX,GRAND LYON,GRAND LYON,Avenue Marcel Paul,Avenue Marcel Paul,Existant,Poche de stationnement,En surface,0,2.0,20,0,0,0,2,Libre,Commerciale,Zone bleue,Ouvert 24h/24h,5,40,pvo_patrimoine_voirie.pvoparking.40,4.881838,45.699957999057084
Gambetta,VENISSIEUX,COMMUNE,COMMUNE,Rue Gambetta,Rue Gambetta,Existant,Poche de stationnement,En surface,0,2.0,100,0,0,0,0,Libre,Commerciale,Gratuit,Ouvert 24h/24h,5,518,pvo_patrimoine_voirie.pvoparking.518,4.883367,45.6976589990571
Hôtel de Ville,VENISSIEUX,COMMUNE,COMMUNE,Rue Gambetta,Rue Gambetta,Existant,Poche de stationnement,En surface,0,2.0,160,0,0,0,4,Libre,Commerciale,Gratuit,Ouvert 24h/24h,5,19,pvo_patrimoine_voirie.pvoparking.19,4.88369,45.69706499905708
Marché des Minguettes,VENISSIEUX,GRAND LYON,GRAND LYON,Rue Edouard Hériot,Rue Edouard Hériot,Existant,Poche de stationnement,En surface,0,2.0,725,0,0,0,0,Libre,Commerciale,Gratuit,Marché,5,12,pvo_patrimoine_voirie.pvoparking.12,4.876578,45.69584099905708
Martyrs de la Résistance,VENISSIEUX,COMMUNE,COMMUNE,Rue des Martyrs de la Résista*,Rue des Martyrs de la Résista*,Existant,Poche de stationnement,En surface,0,2.0,200,0,0,0,6,Libre,Commerciale,Gratuit,Fermé pour travaux,5,18,pvo_patrimoine_voirie.pvoparking.18,4.869855,45.69079499905707
Place Léon Sublet,VENISSIEUX,GRAND LYON,GRAND LYON,Place Léon Sublet,Place Léon Sublet,Existant,Poche de stationnement,En surface,0,2.0,65,0,0,0,4,Libre,Commerciale,Gratuit,Marché,5,17,pvo_patrimoine_voirie.pvoparking.17,4.883161,45.69967399905708
Parking provisoire Parc L. Dupie,VENISSIEUX,GRAND LYON,GRAND LYON,Rue Jean Macé,Rue Jean Macé,Existant,Poche de stationnement,En surface,0,2.0,22,0,0,0,0,Libre,Commerciale,Zone bleue,Ouvert 24h/24h,5,22,pvo_patrimoine_voirie.pvoparking.22,4.88457,45.69829399905707
Venissy,VENISSIEUX,COMMUNE,COMMUNE,Rue Aristide Bruant,Rue Aristide Bruant,Existant,Poche de stationnement,En surface,0,2.0,25,0,0,0,1,Libre,Commerciale,Gratuit,Ouvert 24h/24h,5,32,pvo_patrimoine_voirie.pvoparking.32,4.869945,45.69640599905709
Bottet,RILLIEUX-LA-PAPE,SEDA,COMMUNE,Rue de Madrid,Rue de Madrid,Existant,Poche de stationnement,En surface,0,2.0,250,0,0,0,2,Libre,Commerciale,Gratuit,Ouvert 24h/24h,5,352,pvo_patrimoine_voirie.pvoparking.352,4.901551,45.8187179990572
Cimetière,SAINT-GENIS-LAVAL,GRAND LYON,GRAND LYON,Rue Frère Benoit,Rue Frère Benoit,Existant,Poche de stationnement,En surface,0,2.0,88,0,0,0,2,Libre,Mixte,Gratuit,Ouvert 24h/24h,5,331,pvo_patrimoine_voirie.pvoparking.331,4.78792,45.70059899905707
Hôtel de Ville,FRANCHEVILLE,GRAND LYON,GRAND LYON,Rue du Robert,Rue du Robert,Existant,Poche de stationnement,En surface,0,2.0,90,0,0,0,2,Libre,Mixte,Gratuit,Ouvert 24h/24h,5,514,pvo_patrimoine_voirie.pvoparking.514,4.764939,45.73570299905712
Ancienne Mairie,FRANCHEVILLE,GRAND LYON,GRAND LYON,Rue de la Mairie,Montée de la Cure,Existant,Poche de stationnement,En surface,0,2.0,14,0,4,0,1,Libre,Mixte,Zone bleue,Ouvert 24h/24h,5,510,pvo_patrimoine_voirie.pvoparking.510,4.764538,45.73712099905711
Place du Repos,FRANCHEVILLE,GRAND LYON,GRAND LYON,Rue de l'Eglise,Rue de la Douline,Existant,Poche de stationnement,En surface,0,2.0,44,0,0,0,0,Libre,Mixte,Gratuit,Ouvert 24h/24h,5,513,pvo_patrimoine_voirie.pvoparking.513,4.761858,45.73770599905712
IRIS-Médiathèque,FRANCHEVILLE,COMMUNE,COMMUNE,Montée des Roches,Montée des Roches,Existant,Aire de covoiturage,En surface,0,2.1,176,0,10,0,7,Libre,Evènementielle,Gratuit,Ouvert 24h/24h,6,801,pvo_patrimoine_voirie.pvoparking.801,4.76827,45.73465699905711
Les Trois Orangers,FRANCHEVILLE,GRAND LYON,GRAND LYON,Grande Rue,Grande Rue,Existant,Poche de stationnement,En surface,0,2.0,89,0,0,0,3,Libre,Mixte,Gratuit,Ouvert 24h/24h,5,506,pvo_patrimoine_voirie.pvoparking.506,4.771005,45.737611999057115
Place de l'Europe,FRANCHEVILLE,GRAND LYON,GRAND LYON,Chemin de Chantegrillet,Chemin de Chantegrillet,Existant,Poche de stationnement,En surface,0,2.0,111,0,0,0,2,Libre,Mixte,Gratuit,Marché,5,515,pvo_patrimoine_voirie.pvoparking.515,4.774286,45.73829399905711
Salle Vacheron,FRANCHEVILLE,COMMUNE,COMMUNE,Avenue du Chater,Avenue du Chater,Existant,Poche de stationnement,En surface,0,2.0,52,0,2,0,1,Libre,Evènementielle,Gratuit,Ouvert 24h/24h,5,508,pvo_patrimoine_voirie.pvoparking.508,4.772333,45.74118899905712
Place de la République,SAINT-CYR-AU-MONT-D'OR,GRAND LYON,GRAND LYON,Place de la République,Route de Lyon,Existant,Poche de stationnement,En surface,0,2.0,53,0,0,0,1,Libre,Evènementielle,Gratuit,Ouvert 24h/24h,5,241,pvo_patrimoine_voirie.pvoparking.241,4.818711,45.814332999057186
Eglise,SAINT-CYR-AU-MONT-D'OR,GRAND LYON,GRAND LYON,Place du Chanoine Chatard,Place du Chanoine Chatard,Existant,Poche de stationnement,En surface,0,2.0,41,0,0,0,1,Libre,Evènementielle,Gratuit,Ouvert 24h/24h,5,304,pvo_patrimoine_voirie.pvoparking.304,4.81979,45.814616999057186
Place Général de Gaulle,SAINT-CYR-AU-MONT-D'OR,GRAND LYON,GRAND LYON,Avenue Victor Hugo,Rue du Mont d'Or,Existant,Poche de stationnement,En surface,0,2.0,13,0,0,0,1,Libre,Commerciale,Zone bleue,Ouvert 24h/24h,5,370,pvo_patrimoine_voirie.pvoparking.370,4.817429,45.8141999990572
Gambetta,SAINT-CYR-AU-MONT-D'OR,COMMUNE,GRAND LYON,Avenue Gambetta,Avenue Gambetta,Existant,Poche de stationnement,En surface,0,2.0,23,0,0,0,1,Libre,Commerciale,Gratuit,Ouvert 24h/24h,5,303,pvo_patrimoine_voirie.pvoparking.303,4.816122,45.81370999905719
Contre allée de la Poste,NEUVILLE-SUR-SAONE,GRAND LYON,GRAND LYON,Rue Pierre Dugelay,Rd point 11 novembre/Dugelay,Existant,Poche de stationnement,En surface,0,2.0,21,0,2,0,0,Horaire,Commerciale,Payant,Ouvert 24h/24h,5,234,pvo_patrimoine_voirie.pvoparking.234,4.840016,45.87489599905725
Touchagues,SAINT-CYR-AU-MONT-D'OR,GRAND LYON,GRAND LYON,Rue Louis Touchagues,Rue Louis Touchagues,Existant,Poche de stationnement,En surface,0,2.0,20,0,0,0,0,Libre,Commerciale,Gratuit,Ouvert 24h/24h,5,307,pvo_patrimoine_voirie.pvoparking.307,4.818919,45.81491599905718
La Poste,SAINT-CYR-AU-MONT-D'OR,GRAND LYON,GRAND LYON,Rue Jean et Catherine Reynier,Rue Jean et Catherine Reynier,Existant,Poche de stationnement,En surface,0,2.0,37,0,0,0,1,Libre,Commerciale,Gratuit,Ouvert 24h/24h,5,306,pvo_patrimoine_voirie.pvoparking.306,4.818353,45.8158449990572
Parc de la Mairie,SAINT-CYR-AU-MONT-D'OR,GRAND LYON,GRAND LYON,Rue Jean et Catherine Reynier,Rue Jean et Catherine Reynier,Existant,Poche de stationnement,En surface,0,2.0,12,0,0,0,0,Libre,Commerciale,Gratuit,Ouvert 24h/24h,5,305,pvo_patrimoine_voirie.pvoparking.305,4.817915,45.815806999057195
Place Louis Danis,SATHONAY-VILLAGE,COMMUNE,COMMUNE,Rue des Tilleuls,Rue des Tilleuls,Existant,Poche de stationnement,En surface,0,2.0,60,0,6,0,1,Libre,Evènementielle,Gratuit,Ouvert 24h/24h,5,125,pvo_patrimoine_voirie.pvoparking.125,4.87911,45.8324809990572
Cimetière,SATHONAY-VILLAGE,COMMUNE,COMMUNE,Chemin du Cimetière,Chemin du Cimetière,Existant,Poche de stationnement,En surface,0,2.0,14,0,0,0,1,Libre,Evènementielle,Gratuit,Ouvert 24h/24h,5,123,pvo_patrimoine_voirie.pvoparking.123,4.875735,45.832757999057215
Clos Cassandra,SATHONAY-VILLAGE,GRAND LYON,GRAND LYON,Rue de Rivery,Rue de Rivery,Existant,Poche de stationnement,En surface,0,2.0,12,0,8,0,1,Libre,Résidentielle,Gratuit,Ouvert 24h/24h,5,122,pvo_patrimoine_voirie.pvoparking.122,4.876952,45.833495999057206
Complexe sportif,SATHONAY-VILLAGE,GRAND LYON,GRAND LYON,Rue de Rivery,Rue de Rivery,Existant,Poche de stationnement,En surface,0,2.0,40,0,3,0,0,Libre,Evènementielle,Gratuit,Ouvert 24h/24h,5,124,pvo_patrimoine_voirie.pvoparking.124,4.870358,45.83743999905722
Stade,CURIS-AU-MONT-D'OR,COMMUNE,COMMUNE,Impasse du Stade,Impasse du Stade,Existant,Poche de stationnement,En surface,0,2.0,28,0,0,0,0,Libre,Evènementielle,Gratuit,Ouvert 24h/24h,5,720,pvo_patrimoine_voirie.pvoparking.720,4.82315,45.87362799905725
Route du Tilleul,CAILLOUX-SUR-FONTAINES,COMMUNE,COMMUNE,Chemin du Moulin du Pont,Chemin du Moulin du Pont,Existant,Aire de covoiturage,En surface,0,2.0,5,0,0,0,0,Libre,Evènementielle,Gratuit,Ouvert 24h/24h,6,126,pvo_patrimoine_voirie.pvoparking.126,4.877554,45.85672699905724
Basses Seguines,SAINT-ROMAIN-AU-MONT-D'OR,COMMUNE,COMMUNE,Route du Mont Thou,Route du Mont Thou,Existant,Poche de stationnement,En surface,0,2.0,26,1,4,0,1,Libre,Mixte,Gratuit,Ouvert 24h/24h,5,313,pvo_patrimoine_voirie.pvoparking.313,4.822181,45.835580999057214
Charroi,SAINT-ROMAIN-AU-MONT-D'OR,GRAND LYON,GRAND LYON,Rue du Charroi,Rue du Charroi,Existant,Poche de stationnement,En surface,0,2.0,10,0,0,0,0,Libre,Résidentielle,Gratuit,Ouvert 24h/24h,5,310,pvo_patrimoine_voirie.pvoparking.310,4.824358,45.83830999905721
Le Lavoir,SAINT-ROMAIN-AU-MONT-D'OR,COMMUNE,COMMUNE,Rue de la République,Rue de la République,Existant,Poche de stationnement,En surface,0,2.0,20,0,0,0,1,Libre,Mixte,Gratuit,Ouvert 24h/24h,5,314,pvo_patrimoine_voirie.pvoparking.314,4.825557,45.837758999057215
Le Stade,SAINT-ROMAIN-AU-MONT-D'OR,COMMUNE,COMMUNE,Rue du Charroi,Rue du Charroi,Existant,Poche de stationnement,En surface,0,2.0,12,0,0,0,0,Libre,Mixte,Gratuit,Ouvert 24h/24h,5,311,pvo_patrimoine_voirie.pvoparking.311,4.822118,45.838615999057225
Place de l'Eglise,SAINT-ROMAIN-AU-MONT-D'OR,COMMUNE,COMMUNE,Rue de la Charrière,Rue de la Charrière,Existant,Poche de stationnement,En surface,0,2.0,6,0,0,0,0,Libre,Mixte,Gratuit,Ouvert 24h/24h,5,315,pvo_patrimoine_voirie.pvoparking.315,4.822977,45.83728299905722
Les Cigales,FRANCHEVILLE,GRAND LYON,GRAND LYON,Chemin de Chantegrillet,Chemin de Chantegrillet,Existant,Poche de stationnement,En surface,0,2.0,66,0,0,0,3,Libre,Mixte,Gratuit,Ouvert 24h/24h,5,503,pvo_patrimoine_voirie.pvoparking.503,4.775121,45.73834199905712
Poste Rancé,GENAY,GRAND LYON,GRAND LYON,Rue de la Grande Verchère,Rue des Terreaux,Existant,Aire de covoiturage,En surface,0,2.0,50,0,0,0,0,Libre,Mixte,Gratuit,Ouvert 24h/24h,6,42,pvo_patrimoine_voirie.pvoparking.42,4.842712,45.89798499905728
Halle marchand,GENAY,COMMUNE,COMMUNE,Place de Verdun,Rue de la Mairie,Existant,Poche de stationnement,En surface,0,3.0,10,0,0,0,0,Libre,Mixte,Gratuit,Nuit,5,111,pvo_patrimoine_voirie.pvoparking.111,4.84133,45.89742899905728
Place de la Mairie,GENAY,GRAND LYON,GRAND LYON,Rue de la Mairie,Rue de la Mairie,Existant,Poche de stationnement,En surface,0,2.0,20,0,0,0,1,Libre,Mixte,Gratuit,Ouvert 24h/24h,5,112,pvo_patrimoine_voirie.pvoparking.112,4.840768,45.897459999057276
Place des Libertés,GENAY,GRAND LYON,GRAND LYON,Rue des Ecoles,Rue des Ecoles,Existant,Poche de stationnement,En surface,0,2.0,54,0,10,0,0,Libre,Mixte,Gratuit,Ouvert 24h/24h,5,113,pvo_patrimoine_voirie.pvoparking.113,4.840102,45.89759899905728
Place Colette Besson,GENAY,GRAND LYON,GRAND LYON,Rue de la Gare,Rue de la Gare,Existant,Poche de stationnement,En surface,0,2.0,29,0,0,0,1,Libre,Mixte,Gratuit,Ouvert 24h/24h,5,63,pvo_patrimoine_voirie.pvoparking.63,4.838349,45.89841099905728
Place Docteur Chauviré,GENAY,GRAND LYON,GRAND LYON,Rue de la Gare,Rue de la Gare,Existant,Poche de stationnement,En surface,0,2.0,57,0,0,0,0,Libre,Mixte,Gratuit,Ouvert 24h/24h,5,383,pvo_patrimoine_voirie.pvoparking.383,4.836901,45.89823899905728
Stade,GENAY,COMMUNE,COMMUNE,Rue des Ecoles,Rue des Ecoles,Existant,Aire de covoiturage,En surface,0,2.0,37,0,0,0,0,Libre,Evènementielle,Gratuit,Ouvert 24h/24h,6,386,pvo_patrimoine_voirie.pvoparking.386,4.837032,45.89648799905727
