nom,commune,proprietaire,gestionnaire,voieentree,voiesortie,avancement,typeparking,situation,parkingtempsreel,gabarit,capacite,capacite2rm,capacitevelo,capaciteautopartage,capacitepmr,usage,vocation,reglementation,fermeture,codetype,gid,gml_id,longitude,latitude
Parc Relais TCL Bel Air,SAINT-PRIEST,SYTRAL,TCL,Avenue Pierre Mendès France,Avenue Pierre Mendès France,Existant,P+R Sytral,En surface,0,1.9,123,0,0,0,4,Libre,Commerciale,Gratuit,Nuit,3,791,pvo_patrimoine_voirie.pvoparking.791,4.957275,45.69335799905709
Parc Relais TCL Porte des Alpes,SAINT-PRIEST,SYTRAL,TCL,Cours du Pr Jean Bernard,Cours du Pr Jean Bernard,Existant,P+R Sytral,En surface,1,2.0,389,0,0,0,10,Libre,Commerciale,Gratuit,Nuit,3,160,pvo_patrimoine_voirie.pvoparking.160,4.926844,45.71796599905709
Parc Relais TCL Vaulx en Velin La Soie,VAULX-EN-VELIN,SYTRAL,TCL,Rue Maurice Moissonnier,Rue Maurice Moissonnier,Existant,P+R Sytral,En ouvrage (en élévation),1,2.0,474,0,142,0,10,Libre,Commerciale,Gratuit,Nuit,3,381,pvo_patrimoine_voirie.pvoparking.381,4.921907,45.760056999057134
Parc Relais TCL Parilly,VENISSIEUX,SYTRAL,TCL,Avenue Jules Guesde,Rue Nelson Mandela,Existant,P+R Sytral,En surface,1,2.0,310,0,0,0,6,Libre,Commerciale,Gratuit,Nuit,3,351,pvo_patrimoine_voirie.pvoparking.351,4.885678,45.720113999057105
Parc Relais TCL Vénissieux,VENISSIEUX,SYTRAL,TCL,R. des Combats du 24 aout 1944,R. des Combats du 24 aout 1944,Existant,P+R Sytral,En ouvrage (sous-sol),1,2.0,745,0,0,0,21,Libre,Commerciale,Gratuit,Nuit,3,159,pvo_patrimoine_voirie.pvoparking.159,4.888969,45.70581899905709
Parc Relais TCL Laurent Bonnevay,VILLEURBANNE,SYTRAL,TCL,Av. M. Cerdan/Cours Zola,Av. M. Cerdan/Cours Zola,Existant,P+R Sytral,En ouvrage (sous-sol),1,2.0,657,0,0,0,20,Libre,Commerciale,Gratuit,Nuit,3,87,pvo_patrimoine_voirie.pvoparking.87,4.909795,45.76502899905715
Parc Relais TCL Feyssine,VILLEURBANNE,SYTRAL,TCL,Rue de la Technologie,Rue de la Technologie,Existant,P+R Sytral,En ouvrage (en élévation),0,2.0,80,0,0,0,0,Libre,Commerciale,Gratuit,Nuit,3,334,pvo_patrimoine_voirie.pvoparking.334,4.881945,45.78648499905716
Parc Relais TCL Hôpital Feyzin Vénissieux,VENISSIEUX,SYTRAL,TCL,Avenue du 11 Novembre 1918,Avenue du 11 Novembre 1918,Existant,P+R Sytral,En surface,0,2.0,80,0,0,0,2,Libre,Commerciale,Gratuit,Nuit,3,237,pvo_patrimoine_voirie.pvoparking.237,4.864036,45.68867899905708
Duchère,Lyon 9 ème,SYTRAL,COMMUNE,Avenue Rosa Parks,Avenue Rosa Parks,Existant,Poche de stationnement,En surface,0,2.0,127,0,0,0,3,Libre,Commerciale,Gratuit,Ouvert 24h/24h,5,787,pvo_patrimoine_voirie.pvoparking.787,4.787576,45.78614599905716
Parc Relais TCL Rillieux Semailles,RILLIEUX-LA-PAPE,SYTRAL,TCL,Avenue de l'Europe,Avenue de l'Europe,Existant,P+R Sytral,En surface,1,2.0,50,0,0,0,2,Libre,Commerciale,Gratuit,Nuit,3,789,pvo_patrimoine_voirie.pvoparking.789,4.909629,45.8194469990572
Parc Relais TCL Oullins Sud,OULLINS,SYTRAL,TCL,Rue Edmond Locard,Rue Edmond Locard,Existant,P+R Sytral,En surface,1,2.0,306,0,0,0,7,Libre,Commerciale,Gratuit,Nuit,3,628,pvo_patrimoine_voirie.pvoparking.628,4.815387,45.714119999057104
Parc Relais TCL Oullins Nord,OULLINS,SYTRAL,TCL,Rue Edmond Locard,Rue Edmond Locard,Existant,P+R Sytral,En ouvrage (en élévation),1,2.0,115,0,40,0,2,Réservé abonnés,Commerciale,Payant,Nuit,3,784,pvo_patrimoine_voirie.pvoparking.784,4.814965,45.7172079990571
Parc Relais TCL Meyzieu Panettes,MEYZIEU,SYTRAL,TCL,Chemin des Panettes,Chemin des Panettes,Existant,P+R Sytral,En surface,1,2.0,590,0,0,0,14,Libre,Commerciale,Gratuit,Nuit,3,955,pvo_patrimoine_voirie.pvoparking.955,5.035921,45.766219999057135
Parc Relais TCL Mermoz,BRON,SYTRAL,TCL,Route Nationale 2043,Route Nationale 2043,Existant,P+R Sytral,En ouvrage (sous-sol),1,2.0,416,0,30,0,10,Libre,Commerciale,Gratuit,Nuit,3,823,pvo_patrimoine_voirie.pvoparking.823,4.889791,45.73054999905712
Parc Relais TCL Grézieu la Varenne,Grézieu-la-Varenne,SYTRAL,TCL,Route du Col de la Luère,Route du Col de la Luère,Existant,P+R Sytral,En surface,0,2.0,69,0,0,0,2,Contrôle d'accès,Mixte,Gratuit,Ouvert 24h/24h,3,1033,pvo_patrimoine_voirie.pvoparking.1033,4.697321,45.747923999057136
Gare d'Albigny-Neuville,ALBIGNY-SUR-SAONE,RFF,SNCF,Place de la Gare,Place de la Gare,Existant,P+R Gare,En surface,0,1.9,180,6,16,0,2,Libre,Mixte,Gratuit,Ouvert 24h/24h,2,67,pvo_patrimoine_voirie.pvoparking.67,4.833203,45.874608999057244
Halte Ferroviaire Le Méridien,CHARBONNIERES-LES-BAINS,RFF,SNCF,Avenue Jean Bergeron,Avenue Jean Bergeron,Existant,P+R Gare,En surface,0,2.0,75,0,4,0,0,Libre,Mixte,Gratuit,Ouvert 24h/24h,2,931,pvo_patrimoine_voirie.pvoparking.931,4.748554,45.76962099905715
